work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2022,Machine Learning Engineer  in office,Analysis,EUR,186597,136086,US,MI,CT,Remote,DE,L
2020,Statistician  (Remote),ML/AI,JPY,110630,67982,JP,EX,FL,Remote,IN,M
2022,Machine Learning Engineer  ,ML/AI,INR,61280,153309,UK,MI,CT,Hybrid,CN,L
2022,Data Analyst  in office,ML/AI,JPY,154130,135242,DE,SE,FT,Hybrid,MX,L
2020,Statistician  ,Data Science,EUR,172312,35156,UK,MI,FT,In-person,UK,S
2020,Machine Learning Engineer  ,Engineering,JPY,36544,68280,CN,MI,FT,Hybrid,DE,M
2022,Data Analyst  in office,Data Science,JPY,178404,105324,DE,EX,PT,Remote,DE,L
2021,Data Scientist  (Remote),ML/AI,JPY,187908,90706,UK,EX,CT,Remote,JP,M
2022,Data Analyst  ,,,-44388,171043,UK,,FL,In-person,DE,
2022,Statistician  (Remote),Engineering,us dolars,31694,73408,DE,EN,CT,Remote,US,S
2022,Data Engineer  in office,Data Science,us dolars,157727,167559,US,SE,FL,Hybrid,US,S
2022,Data Scientist  ,Data Science,INR,118202,50997,MX,EX,FL,In-person,UK,M
2020,Machine Learning Engineer  (Remote),,,143057,76456,MX,,FL,In-person,DE,
2022,Statistician  ,Engineering,us dolars,79294,160865,JP,EN,CT,In-person,JP,M
2021,Data Engineer  ,Analysis,JPY,68769,107988,JP,EN,FT,Hybrid,CN,M
2020,Data Analyst  ,Engineering,JPY,143289,110908,MX,EX,PT,In-person,UK,M
2021,Data Engineer  in office,Analysis,JPY,132885,107952,US,EX,PT,In-person,IN,L
2021,Statistician  (Remote),ML/AI,JPY,67855,114784,UK,SE,FT,Remote,JP,M
2021,Statistician  ,ML/AI,GBP,162532,189266,JP,EX,PT,Remote,IN,L
2021,Data Engineer  (Remote),Data Science,INR,77646,194857,US,EX,FL,In-person,UK,L
2020,Data Analyst  in office,ML/AI,EUR,170907,88676,US,EX,PT,Hybrid,US,L
2020,Data Engineer  ,ML/AI,EUR,143947,38373,JP,SE,CT,Hybrid,JP,M
2021,Statistician  ,Analysis,us dolars,40910,191355,MX,MI,FT,Hybrid,CN,S
2021,Statistician  ,,,-112757,124951,DE,,FT,Hybrid,JP,
2020,Machine Learning Engineer  (Remote),Engineering,EUR,38463,56414,IN,EN,FT,Remote,UK,M
2020,Machine Learning Engineer  (Remote),Data Science,INR,174408,175450,MX,MI,FT,Hybrid,JP,M
2020,Data Scientist  ,,,56534,147139,DE,,CT,Hybrid,JP,
2022,Statistician  (Remote),Engineering,us dolars,163441,113872,MX,SE,FL,In-person,UK,L
2022,Machine Learning Engineer  (Remote),Data Science,INR,186453,165772,UK,SE,FL,Hybrid,MX,S
